gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000173456,ENSG00000173456.4,0.32508343,0.061932243,7219,0.7845886316704705,12980,0.018558562,0.06728694,0.0858465,RNF26,protein_coding,ring finger protein 26 [Source:HGNC Symbol;Acc:HGNC:14646],11
ENSG00000177700,ENSG00000177700.5,1.8388474,0.06157923,9201,1.0,19925,-0.01698649,0.06883061,0.0858181,POLR2L,protein_coding,"RNA polymerase II, I and III subunit L [Source:HGNC Symbol;Acc:HGNC:9199]",11
ENSG00000100554,ENSG00000100554.11,0.48501384,0.06131358,8615,0.9363112705140746,8048,0.029704392,0.056039184,0.085744575,ATP6V1D,protein_coding,ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527],14
ENSG00000131473,ENSG00000131473.16,0.5520714,0.063529715,8811,0.9576133029018584,12428,-0.013284385,0.07233119,0.08561657,ACLY,protein_coding,ATP citrate lyase [Source:HGNC Symbol;Acc:HGNC:115],17
ENSG00000198356,ENSG00000198356.11,0.6124535,0.06256383,8969,0.9747853494185414,9620,-0.020604312,0.06490791,0.08551322,GET3,protein_coding,"guided entry of tail-anchored proteins factor 3, ATPase [Source:HGNC Symbol;Acc:HGNC:752]",19
ENSG00000178605,ENSG00000178605.13,0.4851482,0.061235342,8589,0.9334854907075318,17034,-0.02932331,0.056165993,0.0854903,GTPBP6,protein_coding,GTP binding protein 6 (putative) [Source:HGNC Symbol;Acc:HGNC:30189],X
ENSG00000130741,ENSG00000130741.10,1.1914704,0.075149074,9195,0.9993478969677208,10988,-0.015881062,-0.06955743,0.08543949,EIF2S3,protein_coding,eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267],X
ENSG00000088986,ENSG00000088986.10,1.9338803,0.10763519,9199,0.9997826323225736,7249,0.017799139,0.06761837,0.08541851,DYNLL1,protein_coding,dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476],12
ENSG00000106484,ENSG00000106484.15,0.39285296,0.063442245,7932,0.8620802086729703,6020,0.0065226555,0.07876381,0.08528747,MEST,protein_coding,mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028],7
ENSG00000108846,ENSG00000108846.15,0.47329578,0.08242225,8348,0.9072926855776546,12389,0.06285909,-0.022074312,0.0849344,ABCC3,protein_coding,ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54],17
ENSG00000105329,ENSG00000105329.9,0.43548128,0.067318685,8208,0.8920769481578089,884,0.07447821,0.01042226,0.08490147,TGFB1,protein_coding,transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766],19
ENSG00000167112,ENSG00000167112.9,0.6398247,0.294044,8504,0.9242473644169112,5587,-0.031279325,0.053475916,0.08475624,TRUB2,protein_coding,TruB pseudouridine synthase family member 2 [Source:HGNC Symbol;Acc:HGNC:17170],9
ENSG00000116095,ENSG00000116095.10,0.6207859,0.060737316,9003,0.9784805999347898,12151,0.013961673,-0.070605755,0.084568426,PLEKHA3,protein_coding,pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338],2
ENSG00000128340,ENSG00000128340.14,0.41897216,0.063496396,8185,0.8895772198674057,17802,0.040424615,-0.0440844,0.08451001,RAC2,protein_coding,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802],22
ENSG00000163041,ENSG00000163041.9,1.7443876,0.08206735,9199,0.9997826323225736,7352,0.059144735,-0.025360346,0.08450608,H3-3A,protein_coding,H3.3 histone A [Source:HGNC Symbol;Acc:HGNC:4764],1
ENSG00000071054,ENSG00000071054.16,0.4366905,0.066652626,8273,0.8991413976741659,18927,0.039675444,-0.044659436,0.08433588,MAP4K4,protein_coding,mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866],2
ENSG00000137962,ENSG00000137962.12,0.47706974,0.07511879,8359,0.9084882078034996,3995,-0.01451385,0.069808096,0.084322944,ARHGAP29,protein_coding,Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:HGNC:30207],1
ENSG00000146729,ENSG00000146729.9,0.50919044,0.06225162,8666,0.9418541462884468,21122,0.010052323,0.07418397,0.08423729,NIPSNAP2,protein_coding,nipsnap homolog 2 [Source:HGNC Symbol;Acc:HGNC:4179],7
ENSG00000120686,ENSG00000120686.11,0.6820677,0.06865115,9008,0.9790240191283556,18863,-0.07789469,0.0059565306,0.08385222,UFM1,protein_coding,ubiquitin fold modifier 1 [Source:HGNC Symbol;Acc:HGNC:20597],13
ENSG00000150782,ENSG00000150782.11,0.8152104,0.092686094,9105,0.9895663514835344,17781,-0.044584036,-0.039211392,0.08379643,IL18,protein_coding,interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986],11
ENSG00000124942,ENSG00000124942.13,1.0477524,0.09060613,9179,0.99760895554831,17776,-0.061071873,-0.022649527,0.0837224,AHNAK,protein_coding,AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347],11
ENSG00000160799,ENSG00000160799.11,0.42867133,0.06131485,8372,0.909901097706771,6464,-0.026348978,0.057259917,0.083609894,CCDC12,protein_coding,coiled-coil domain containing 12 [Source:HGNC Symbol;Acc:HGNC:28332],3
ENSG00000105993,ENSG00000105993.14,0.88854676,0.079206906,9152,0.994674491903054,13196,-0.017866611,0.06569588,0.08356349,DNAJB6,protein_coding,DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888],7
ENSG00000025796,ENSG00000025796.13,0.584282,0.06327147,8915,0.9689164221280296,6790,-0.027952254,0.05552429,0.08347754,SEC63,protein_coding,SEC63 protein translocation regulator [Source:HGNC Symbol;Acc:HGNC:21082],6
ENSG00000125166,ENSG00000125166.12,0.6933348,0.06735025,9039,0.9823932181284644,16336,-0.033797383,0.049490213,0.083288595,GOT2,protein_coding,glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433],16
ENSG00000133318,ENSG00000133318.13,0.47738746,0.0645885,8590,0.9335941745462448,15203,0.022911668,0.06034562,0.083258286,RTN3,protein_coding,reticulon 3 [Source:HGNC Symbol;Acc:HGNC:10469],11
ENSG00000067248,ENSG00000067248.9,0.62361187,0.065981016,8931,0.9706553635474404,15701,0.017492056,0.065754,0.08324705,DHX29,protein_coding,DExH-box helicase 29 [Source:HGNC Symbol;Acc:HGNC:15815],5
ENSG00000176046,ENSG00000176046.8,0.40912834,0.1058809,7549,0.8204542984458211,3922,-0.06671134,0.016478807,0.08319114,NUPR1,protein_coding,"nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]",16
ENSG00000130312,ENSG00000130312.6,0.71659356,0.070476405,9060,0.9846755787414412,17449,-0.021637738,0.061536014,0.08317475,MRPL34,protein_coding,mitochondrial ribosomal protein L34 [Source:HGNC Symbol;Acc:HGNC:14488],19
ENSG00000166295,ENSG00000166295.8,1.1467326,0.07415653,9180,0.9977176393870232,16271,0.054947376,0.028146148,0.08309452,ANAPC16,protein_coding,anaphase promoting complex subunit 16 [Source:HGNC Symbol;Acc:HGNC:26976],10
ENSG00000101000,ENSG00000101000.5,0.55566853,0.06859221,8802,0.95663514835344,19900,0.009864211,-0.07314783,0.08301304,PROCR,protein_coding,protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452],20
ENSG00000128185,ENSG00000128185.9,0.5035741,0.061819013,8608,0.9355504836430822,22477,0.055161357,-0.027836949,0.082999304,DGCR6L,protein_coding,DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551],22
ENSG00000079482,ENSG00000079482.12,0.52621156,0.06855586,8650,0.940115204869036,21582,0.075675935,0.007290125,0.08296706,OPHN1,protein_coding,oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148],X
ENSG00000143815,ENSG00000143815.14,0.36008647,0.061369255,7770,0.8444734268014347,7357,-0.032430768,0.050479352,0.08291112,LBR,protein_coding,lamin B receptor [Source:HGNC Symbol;Acc:HGNC:6518],1
ENSG00000167005,ENSG00000167005.13,0.7166561,0.06991711,9035,0.9819584827736116,8570,-0.01761067,0.06522399,0.08283566,NUDT21,protein_coding,nudix hydrolase 21 [Source:HGNC Symbol;Acc:HGNC:13870],16
ENSG00000203667,ENSG00000203667.9,0.6155048,0.07688782,8843,0.9610911857406804,736,-0.05312586,0.029664755,0.08279161,COX20,protein_coding,cytochrome c oxidase assembly factor COX20 [Source:HGNC Symbol;Acc:HGNC:26970],1
ENSG00000106348,ENSG00000106348.17,0.7727639,0.07488806,9079,0.9867405716769916,3469,-0.054190695,0.028464913,0.08265661,IMPDH1,protein_coding,inosine monophosphate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6052],7
ENSG00000005022,ENSG00000005022.5,2.1396916,0.08778867,9201,1.0,1983,0.024314642,-0.058274746,0.082590386,SLC25A5,protein_coding,solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991],X
ENSG00000184840,ENSG00000184840.11,0.80411476,0.09864627,9120,0.991196609064232,12726,-0.017303646,0.065274,0.082578644,TMED9,protein_coding,transmembrane p24 trafficking protein 9 [Source:HGNC Symbol;Acc:HGNC:24878],5
ENSG00000166164,ENSG00000166164.15,0.6031637,0.068760075,8875,0.9645690685795022,6777,0.028225482,0.05433005,0.08255653,BRD7,protein_coding,bromodomain containing 7 [Source:HGNC Symbol;Acc:HGNC:14310],16
ENSG00000101166,ENSG00000101166.15,1.0317769,0.06973299,9167,0.9963047494837518,5019,-0.042005062,0.040527344,0.082533404,PRELID3B,protein_coding,PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892],20
ENSG00000005884,ENSG00000005884.17,0.5815361,0.079669945,8761,0.9521791109661992,21035,-0.051607072,-0.030873656,0.08248173,ITGA3,protein_coding,integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139],17
ENSG00000113649,ENSG00000113649.11,0.4590729,0.061466224,8481,0.921747636126508,6163,-0.05202487,0.030078381,0.08210425,TCERG1,protein_coding,transcription elongation regulator 1 [Source:HGNC Symbol;Acc:HGNC:15630],5
ENSG00000117899,ENSG00000117899.10,0.58844906,0.07423511,8864,0.9633735463536572,12287,-0.0151439905,0.06689221,0.082037196,MESD,protein_coding,mesoderm development LRP chaperone [Source:HGNC Symbol;Acc:HGNC:13520],15
ENSG00000167978,ENSG00000167978.16,1.4492625,0.076306544,9200,0.9998913161612868,15725,-0.081431985,0.00035643578,0.08178942,SRRM2,protein_coding,serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:HGNC:16639],16
ENSG00000143742,ENSG00000143742.12,0.92732567,0.07829653,9167,0.9963047494837518,4112,-0.036186397,0.04559052,0.081777915,SRP9,protein_coding,signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304],1
ENSG00000139233,ENSG00000139233.6,0.53063434,0.07232191,8779,0.9541354200630366,17144,-0.023313522,0.058443606,0.08175813,LLPH,protein_coding,"LLP homolog, long-term synaptic facilitation factor [Source:HGNC Symbol;Acc:HGNC:28229]",12
ENSG00000197982,ENSG00000197982.13,0.71138155,0.07216603,9031,0.9815237474187588,6045,0.06930232,0.012300372,0.08160369,C1orf122,protein_coding,chromosome 1 open reading frame 122 [Source:HGNC Symbol;Acc:HGNC:24789],1
ENSG00000085871,ENSG00000085871.8,0.35712042,0.065711506,7851,0.8532768177372024,14624,0.04618019,-0.035378456,0.08155964,MGST2,protein_coding,microsomal glutathione S-transferase 2 [Source:HGNC Symbol;Acc:HGNC:7063],4
ENSG00000112378,ENSG00000112378.11,1.4975595,0.10274608,9199,0.9997826323225736,5597,-0.054107547,-0.027435899,0.081544444,PERP,protein_coding,p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637],6
ENSG00000124145,ENSG00000124145.6,0.66669893,0.13643202,8838,0.9605477665471144,6693,0.040720165,-0.040724754,0.08144592,SDC4,protein_coding,syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661],20
ENSG00000158716,ENSG00000158716.8,0.5823668,0.07321437,8781,0.954352787740463,5651,0.033590913,0.047789156,0.08138107,DUSP23,protein_coding,dual specificity phosphatase 23 [Source:HGNC Symbol;Acc:HGNC:21480],1
ENSG00000159352,ENSG00000159352.15,0.8131971,0.08402786,9116,0.9907618737093794,7476,-0.039366305,0.041989923,0.081357226,PSMD4,protein_coding,"proteasome 26S subunit ubiquitin receptor, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]",1
ENSG00000105855,ENSG00000105855.9,0.5255579,0.09379607,8428,0.9159873926747092,10978,0.023344874,0.05797127,0.08131714,ITGB8,protein_coding,integrin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:6163],7
ENSG00000228300,ENSG00000228300.13,0.6885757,0.0716398,8980,0.9759808716443864,17771,-0.034766138,0.046529353,0.08129649,FAM174C,protein_coding,family with sequence similarity 174 member C [Source:HGNC Symbol;Acc:HGNC:26073],19
ENSG00000184292,ENSG00000184292.6,0.695319,0.09852271,8925,0.9700032605151614,8800,0.056671917,-0.024607003,0.08127992,TACSTD2,protein_coding,tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530],1
ENSG00000196937,ENSG00000196937.10,0.6072096,0.07107713,8888,0.9659819584827736,18145,0.06099683,0.020198464,0.08119629,FAM3C,protein_coding,FAM3 metabolism regulating signaling molecule C [Source:HGNC Symbol;Acc:HGNC:18664],7
ENSG00000123179,ENSG00000123179.13,0.7195511,0.063296326,9084,0.9872839908705576,882,-0.06575763,0.015396833,0.081155464,EBPL,protein_coding,EBP like [Source:HGNC Symbol;Acc:HGNC:18061],13
ENSG00000100504,ENSG00000100504.16,0.6529955,0.082733154,8948,0.9725029888055646,9125,-0.06622118,0.014890611,0.08111279,PYGL,protein_coding,glycogen phosphorylase L [Source:HGNC Symbol;Acc:HGNC:9725],14
ENSG00000198604,ENSG00000198604.10,0.6541964,0.07643616,8966,0.974459297902402,4111,0.0050243735,0.07607943,0.0811048,BAZ1A,protein_coding,bromodomain adjacent to zinc finger domain 1A [Source:HGNC Symbol;Acc:HGNC:960],14
ENSG00000011304,ENSG00000011304.19,0.67168707,0.06749519,9001,0.9782632322573632,20184,-0.038864195,0.04223776,0.08110295,PTBP1,protein_coding,polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583],19
ENSG00000114416,ENSG00000114416.17,0.52850306,0.06395896,8792,0.955548309966308,9766,0.039062083,0.04203576,0.08109884,FXR1,protein_coding,FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023],3
ENSG00000114738,ENSG00000114738.10,0.594017,0.07074548,8858,0.962721443321378,16735,-0.021225452,0.059856594,0.081083044,MAPKAPK3,protein_coding,MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888],3
ENSG00000102054,ENSG00000102054.17,0.6923108,0.08471234,9013,0.9795674383219216,18675,-0.021805882,0.0592584,0.08106528,RBBP7,protein_coding,"RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]",X
ENSG00000145833,ENSG00000145833.15,1.0935156,0.0851132,9175,0.9971742201934573,19916,-0.03995824,0.041078925,0.08103816,DDX46,protein_coding,DEAD-box helicase 46 [Source:HGNC Symbol;Acc:HGNC:18681],5
ENSG00000151327,ENSG00000151327.12,0.7277663,0.070008695,9051,0.9836974241930224,17307,0.043047428,0.03771448,0.08076291,FAM177A1,protein_coding,family with sequence similarity 177 member A1 [Source:HGNC Symbol;Acc:HGNC:19829],14
ENSG00000166741,ENSG00000166741.7,0.7053542,0.15684757,8815,0.9580480382567113,2212,-0.023489773,0.05711031,0.08060108,NNMT,protein_coding,nicotinamide N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:7861],11
ENSG00000136770,ENSG00000136770.10,0.51036745,0.07035016,8560,0.9303336593848496,15926,0.037798792,0.04274988,0.08054967,DNAJC1,protein_coding,DnaJ heat shock protein family (Hsp40) member C1 [Source:HGNC Symbol;Acc:HGNC:20090],10
ENSG00000184752,ENSG00000184752.12,1.055102,0.0728794,9180,0.9977176393870232,11360,-0.03499031,0.045535922,0.08052723,NDUFA12,protein_coding,NADH:ubiquinone oxidoreductase subunit A12 [Source:HGNC Symbol;Acc:HGNC:23987],12
ENSG00000113643,ENSG00000113643.8,0.61809844,0.08236857,8923,0.969785892837735,18175,-0.038440704,0.0420717,0.0805134,RARS1,protein_coding,arginyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9870],5
ENSG00000156515,ENSG00000156515.23,0.4795204,0.062676534,8548,0.9290294533202912,8118,-0.07591757,0.0045241117,0.08044268,HK1,protein_coding,hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922],10
ENSG00000096696,ENSG00000096696.13,0.54728717,0.08009712,8734,0.9492446473209434,18079,-0.039345384,0.040983915,0.0803303,DSP,protein_coding,desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052],6
ENSG00000140941,ENSG00000140941.12,0.48820007,0.06415701,8634,0.938376263449625,7091,0.05761206,0.022668034,0.08028109,MAP1LC3B,protein_coding,microtubule associated protein 1 light chain 3 beta [Source:HGNC Symbol;Acc:HGNC:13352],16
ENSG00000141027,ENSG00000141027.20,0.6731366,0.06842577,9007,0.9789153352896424,17986,0.028704703,0.051513612,0.08021931,NCOR1,protein_coding,nuclear receptor corepressor 1 [Source:HGNC Symbol;Acc:HGNC:7672],17
ENSG00000082153,ENSG00000082153.17,0.9870229,0.08769704,9182,0.9979350070644496,1124,-0.033104956,0.047041357,0.08014731,BZW1,protein_coding,basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380],2
ENSG00000184260,ENSG00000184260.5,0.20241126,0.0713649,4736,0.5147266601456364,9050,-0.064800724,0.015284896,0.08008662,H2AC20,protein_coding,H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738],1
ENSG00000169905,ENSG00000169905.12,0.6046451,0.07820415,8918,0.9692424736441692,5639,0.07159662,-0.008404851,0.08000247,TOR1AIP2,protein_coding,torsin 1A interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24055],1
ENSG00000009307,ENSG00000009307.15,1.1524035,0.060919926,9191,0.998913161612868,13098,-0.028654456,0.05133581,0.079991266,CSDE1,protein_coding,cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905],1
ENSG00000112249,ENSG00000112249.13,0.60129267,0.068936735,8947,0.9723943049668514,4603,-0.017410636,-0.062415123,0.07982676,ASCC3,protein_coding,activating signal cointegrator 1 complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:18697],6
ENSG00000130707,ENSG00000130707.17,0.7515492,0.135771,8873,0.964351700902076,6539,0.045154035,0.034666598,0.07982163,ASS1,protein_coding,argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758],9
ENSG00000169599,ENSG00000169599.12,0.5681075,0.061882205,8851,0.961960656450386,17336,0.06902677,0.010703802,0.07973157,NFU1,protein_coding,NFU1 iron-sulfur cluster scaffold [Source:HGNC Symbol;Acc:HGNC:16287],2
ENSG00000108384,ENSG00000108384.14,0.40071505,0.06651336,8070,0.8770785784153896,21765,-0.020180464,-0.059528083,0.079709545,RAD51C,protein_coding,RAD51 paralog C [Source:HGNC Symbol;Acc:HGNC:9820],17
ENSG00000102317,ENSG00000102317.17,1.1901015,0.083439276,9194,0.9992392131290078,11416,0.04534614,0.034318686,0.079665825,RBM3,protein_coding,RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900],X
ENSG00000105854,ENSG00000105854.12,0.8883764,0.08510871,9153,0.9947831757417672,1973,0.019098878,-0.060544074,0.07964395,PON2,protein_coding,paraoxonase 2 [Source:HGNC Symbol;Acc:HGNC:9205],7
ENSG00000130396,ENSG00000130396.20,0.5054725,0.06569342,8557,0.93000760786871,7062,0.053044558,0.026510745,0.0795563,AFDN,protein_coding,"afadin, adherens junction formation factor [Source:HGNC Symbol;Acc:HGNC:7137]",6
ENSG00000228716,ENSG00000228716.6,0.45602646,0.06964102,8272,0.8990327138354527,16618,0.020794064,0.05874011,0.07953517,DHFR,protein_coding,dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861],5
ENSG00000197747,ENSG00000197747.8,2.7979724,0.07517459,9201,1.0,4505,0.04306841,-0.036464214,0.07953362,S100A10,protein_coding,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487],1
ENSG00000105254,ENSG00000105254.11,0.6306262,0.06795103,8938,0.9714161504184328,9903,0.028394103,0.051033616,0.07942872,TBCB,protein_coding,tubulin folding cofactor B [Source:HGNC Symbol;Acc:HGNC:1989],19
ENSG00000077721,ENSG00000077721.15,0.5383248,0.0643641,8778,0.9540267362243234,2961,0.031158388,0.04824084,0.07940023,UBE2A,protein_coding,ubiquitin conjugating enzyme E2 A [Source:HGNC Symbol;Acc:HGNC:12472],X
ENSG00000117523,ENSG00000117523.16,1.089736,0.084736064,9185,0.9982610585805892,7314,-0.0072067976,0.07214999,0.07935779,PRRC2C,protein_coding,proline rich coiled-coil 2C [Source:HGNC Symbol;Acc:HGNC:24903],1
ENSG00000260549,ENSG00000260549.1,0.24381317,0.06823803,5817,0.6322138897945876,24983,-0.057702437,-0.021648645,0.07935208,MT1L,transcribed_unprocessed_pseudogene,metallothionein 1L (pseudogene) [Source:HGNC Symbol;Acc:HGNC:7404],16
ENSG00000159228,ENSG00000159228.12,0.51836115,0.065590136,8690,0.9444625584175632,19486,-0.029150665,0.050132215,0.07928388,CBR1,protein_coding,carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548],21
ENSG00000163636,ENSG00000163636.10,0.3946925,0.06212246,8093,0.8795783067057928,11813,-0.02745086,0.051761866,0.07921372,PSMD6,protein_coding,"proteasome 26S subunit, non-ATPase 6 [Source:HGNC Symbol;Acc:HGNC:9564]",3
ENSG00000086061,ENSG00000086061.15,1.2244256,0.12524362,9192,0.9990218454515812,22465,-0.021674633,0.057494998,0.07917063,DNAJA1,protein_coding,DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229],9
ENSG00000116489,ENSG00000116489.12,0.9861474,0.08769337,9169,0.996522117161178,9949,0.018526912,0.060534775,0.079062685,CAPZA1,protein_coding,capping actin protein of muscle Z-line subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:1488],1
ENSG00000163382,ENSG00000163382.11,0.85492647,0.06453009,9141,0.993478969677209,2952,0.029435694,0.04954189,0.07897858,NAXE,protein_coding,NAD(P)HX epimerase [Source:HGNC Symbol;Acc:HGNC:18453],1
ENSG00000143376,ENSG00000143376.13,0.6244109,0.06970044,8935,0.9710900989022933,5401,0.032308698,0.046575606,0.0788853,SNX27,protein_coding,sorting nexin 27 [Source:HGNC Symbol;Acc:HGNC:20073],1
ENSG00000148187,ENSG00000148187.17,0.5640118,0.062451735,8826,0.9592435604825562,15746,-0.04050547,-0.038336754,0.07884322,MRRF,protein_coding,mitochondrial ribosome recycling factor [Source:HGNC Symbol;Acc:HGNC:7234],9
ENSG00000164172,ENSG00000164172.18,0.46514618,0.060528487,8548,0.9290294533202912,10409,0.028644681,0.050159812,0.07880549,MOCS2,protein_coding,molybdenum cofactor synthesis 2 [Source:HGNC Symbol;Acc:HGNC:7193],5
ENSG00000169032,ENSG00000169032.9,0.52187765,0.06837911,8642,0.9392457341593304,14308,-0.04119283,0.03749901,0.07869284,MAP2K1,protein_coding,mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840],15
ENSG00000109606,ENSG00000109606.12,0.4206341,0.066001154,8259,0.8976198239321813,15610,-0.049016446,0.029672474,0.07868992,DHX15,protein_coding,DEAH-box helicase 15 [Source:HGNC Symbol;Acc:HGNC:2738],4
ENSG00000115919,ENSG00000115919.14,0.4243683,0.08307922,8140,0.8846864471253124,7848,-0.0040361285,-0.0746471,0.078684226,KYNU,protein_coding,kynureninase [Source:HGNC Symbol;Acc:HGNC:6469],2
ENSG00000171865,ENSG00000171865.9,0.6034682,0.06698322,8888,0.9659819584827736,14353,-0.033258975,0.04538244,0.07864241,RNASEH1,protein_coding,ribonuclease H1 [Source:HGNC Symbol;Acc:HGNC:18466],2
ENSG00000149084,ENSG00000149084.12,0.50219697,0.061385207,8717,0.9473970220628192,6633,-0.019174814,0.059434444,0.07861026,HSD17B12,protein_coding,hydroxysteroid 17-beta dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646],11
ENSG00000123395,ENSG00000123395.14,0.47267255,0.06011126,8570,0.9314204977719812,9665,0.015151113,0.06340763,0.07855974,ATG101,protein_coding,autophagy related 101 [Source:HGNC Symbol;Acc:HGNC:25679],12
ENSG00000140995,ENSG00000140995.16,0.7740086,0.07842997,9060,0.9846755787414412,5186,0.03434533,0.044204473,0.0785508,DEF8,protein_coding,differentially expressed in FDCP 8 homolog [Source:HGNC Symbol;Acc:HGNC:25969],16
ENSG00000128534,ENSG00000128534.7,0.79473794,0.0703611,9103,0.989348983806108,21583,-0.059444547,-0.019011438,0.07845698,LSM8,protein_coding,"LSM8 homolog, U6 small nuclear RNA associated [Source:HGNC Symbol;Acc:HGNC:20471]",7
ENSG00000196924,ENSG00000196924.15,0.7399718,0.08735697,9038,0.9822845342897512,6407,-0.05353594,-0.024887085,0.07842402,FLNA,protein_coding,filamin A [Source:HGNC Symbol;Acc:HGNC:3754],X
ENSG00000188725,ENSG00000188725.7,0.5286104,0.06610255,8709,0.9465275513531138,18542,-0.042543173,0.03586638,0.07841055,SMIM15,protein_coding,small integral membrane protein 15 [Source:HGNC Symbol;Acc:HGNC:33861],5
ENSG00000100162,ENSG00000100162.14,0.4225031,0.06702619,8041,0.8739267470927073,3088,-0.014088154,0.06426248,0.07835163,CENPM,protein_coding,centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352],22
ENSG00000157106,ENSG00000157106.16,0.8061444,0.09671479,9058,0.9844582110640148,11632,-0.04649484,-0.03181094,0.07830678,SMG1,protein_coding,SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045],16
ENSG00000150779,ENSG00000150779.11,1.3604841,0.07184929,9192,0.9990218454515812,10048,0.0157907,0.06246233,0.07825403,TIMM8B,protein_coding,translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818],11
ENSG00000087502,ENSG00000087502.17,0.575857,0.06708922,8864,0.9633735463536572,7966,-0.032595217,0.045567274,0.07816349,ERGIC2,protein_coding,ERGIC and golgi 2 [Source:HGNC Symbol;Acc:HGNC:30208],12
ENSG00000134905,ENSG00000134905.16,0.53808075,0.10010065,8705,0.946092815998261,21521,-0.025959432,0.051846325,0.077806756,CARS2,protein_coding,"cysteinyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25695]",13
ENSG00000113387,ENSG00000113387.11,1.9169586,0.078695886,9198,0.9996739484838604,15283,0.010409355,0.067371964,0.07778232,SUB1,protein_coding,SUB1 regulator of transcription [Source:HGNC Symbol;Acc:HGNC:19985],5
ENSG00000183291,ENSG00000183291.16,0.6716793,0.067498244,9039,0.9823932181284644,6446,0.017071128,0.06068617,0.0777583,SELENOF,protein_coding,selenoprotein F [Source:HGNC Symbol;Acc:HGNC:17705],1
ENSG00000175183,ENSG00000175183.9,0.4410806,0.07156315,8269,0.8987066623193131,7689,-0.041743875,0.035957426,0.0777023,CSRP2,protein_coding,cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470],12
