gene_id,gene_full_id,mean_log,var_log,detected_cells,detected_fraction,original_index,acute_vs_control_log_delta,p53DN_vs_p53WT_log_delta,candidate_score,gene_symbol,biotype,description,seq_region_name
ENSG00000138382,ENSG00000138382.14,1.0947086,0.07491464,9176,0.9972829040321703,9141,-0.07470727,-0.07910657,0.15381484,METTL5,protein_coding,"methyltransferase 5, N6-adenosine [Source:HGNC Symbol;Acc:HGNC:25006]",2
ENSG00000124214,ENSG00000124214.19,0.7535121,0.069395356,9098,0.988805564612542,14867,0.0574311,0.09636235,0.15379445,STAU1,protein_coding,staufen double-stranded RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11370],20
ENSG00000041357,ENSG00000041357.15,1.2558689,0.14459994,9194,0.9992392131290078,3357,-0.03347957,0.120206,0.15368657,PSMA4,protein_coding,proteasome 20S subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:9533],15
ENSG00000179041,ENSG00000179041.3,0.6166015,0.09032132,8822,0.9588088251277036,4183,-0.1201309,0.033228338,0.15336023,RRS1,protein_coding,regulator of ribosome synthesis 1 [Source:HGNC Symbol;Acc:HGNC:17083],8
ENSG00000115484,ENSG00000115484.14,1.2739486,0.10225128,9195,0.9993478969677208,7004,-0.11558831,0.037246943,0.15283625,CCT4,protein_coding,chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617],2
ENSG00000153048,ENSG00000153048.10,0.6431047,0.08410931,8867,0.9636995978697968,14414,0.113826394,0.038986802,0.1528142,CARHSP1,protein_coding,calcium regulated heat stable protein 1 [Source:HGNC Symbol;Acc:HGNC:17150],16
ENSG00000087586,ENSG00000087586.17,0.4950643,0.19572026,7055,0.7667644821215085,15369,-0.06880295,0.08395073,0.15275468,AURKA,protein_coding,aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393],20
ENSG00000107833,ENSG00000107833.10,1.2626017,0.09393545,9173,0.9969568525160308,17377,-0.108567,-0.04399383,0.15256183,NPM3,protein_coding,nucleophosmin/nucleoplasmin 3 [Source:HGNC Symbol;Acc:HGNC:7931],10
ENSG00000103257,ENSG00000103257.8,1.2374201,0.11004863,9182,0.9979350070644496,17512,-0.10664952,0.04581499,0.1524655,SLC7A5,protein_coding,solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063],16
ENSG00000143545,ENSG00000143545.8,0.57254374,0.07032074,8827,0.9593522443212694,5038,0.14076278,0.011526883,0.15229066,RAB13,protein_coding,"RAB13, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9762]",1
ENSG00000115128,ENSG00000115128.6,1.5432674,0.08548232,9196,0.999456580806434,10530,-0.104335666,-0.047439456,0.15177612,SF3B6,protein_coding,splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096],2
ENSG00000113460,ENSG00000113460.12,0.59638464,0.105548814,8708,0.9464188675144006,16204,-0.08407378,0.06744504,0.15151982,BRIX1,protein_coding,biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170],5
ENSG00000115541,ENSG00000115541.10,2.3326263,0.09160061,9201,1.0,15720,-0.115412,-0.03598237,0.15139537,HSPE1,protein_coding,heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269],2
ENSG00000167862,ENSG00000167862.9,0.60275716,0.07097134,8872,0.9642430170633628,13603,-0.061653674,0.0890587,0.15071337,MRPL58,protein_coding,mitochondrial ribosomal protein L58 [Source:HGNC Symbol;Acc:HGNC:5359],17
ENSG00000158604,ENSG00000158604.14,0.6703202,0.080778465,9013,0.9795674383219216,16044,0.047845483,0.10281819,0.15066467,TMED4,protein_coding,transmembrane p24 trafficking protein 4 [Source:HGNC Symbol;Acc:HGNC:22301],7
ENSG00000189060,ENSG00000189060.5,0.56792665,0.16855411,8161,0.8869688077382893,2927,0.030251026,0.12037116,0.15062319,H1-0,protein_coding,H1.0 linker histone [Source:HGNC Symbol;Acc:HGNC:4714],22
ENSG00000106263,ENSG00000106263.17,0.8066257,0.07655667,9090,0.9879360939028368,22140,-0.08428174,0.06630659,0.15058933,EIF3B,protein_coding,eukaryotic translation initiation factor 3 subunit B [Source:HGNC Symbol;Acc:HGNC:3280],7
ENSG00000169813,ENSG00000169813.16,0.7868508,0.0984949,9088,0.9877187262254102,5349,-0.12563449,0.024847567,0.15048306,HNRNPF,protein_coding,heterogeneous nuclear ribonucleoprotein F [Source:HGNC Symbol;Acc:HGNC:5039],10
ENSG00000180304,ENSG00000180304.14,0.4553813,0.061755646,8514,0.925334202804043,21232,0.1360803,0.014128,0.1502093,OAZ2,protein_coding,ornithine decarboxylase antizyme 2 [Source:HGNC Symbol;Acc:HGNC:8096],15
ENSG00000125901,ENSG00000125901.5,0.61975604,0.07467094,8885,0.965655906966634,9855,-0.069597244,0.080366135,0.14996438,MRPS26,protein_coding,mitochondrial ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:14045],20
ENSG00000121552,ENSG00000121552.3,1.1544133,0.12150481,9167,0.9963047494837518,6669,-0.052134275,-0.09768331,0.14981858,CSTA,protein_coding,cystatin A [Source:HGNC Symbol;Acc:HGNC:2481],3
ENSG00000137699,ENSG00000137699.16,0.4704121,0.06556321,8459,0.919356591674818,18122,-0.07100403,0.07868311,0.14968814,TRIM29,protein_coding,tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274],11
ENSG00000161203,ENSG00000161203.13,1.3051845,0.0680584,9198,0.9996739484838604,5663,0.053633332,0.09604359,0.14967792,AP2M1,protein_coding,adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564],3
ENSG00000164096,ENSG00000164096.12,0.59921813,0.08281125,8814,0.957939354417998,7424,0.09679699,-0.052718163,0.14951615,ARLN,protein_coding,allregulin [Source:HGNC Symbol;Acc:HGNC:19225],4
ENSG00000153113,ENSG00000153113.23,1.3249677,0.06721359,9200,0.9998913161612868,9933,0.05672705,0.09255755,0.1492856,CAST,lncRNA,calpastatin [Source:HGNC Symbol;Acc:HGNC:1515],5
ENSG00000177606,ENSG00000177606.6,0.5389287,0.1162081,8343,0.9067492663840888,8864,-0.010547191,-0.138724,0.14927219,JUN,protein_coding,"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]",1
ENSG00000130816,ENSG00000130816.15,0.61002266,0.086275734,8698,0.9453320291272688,13130,-0.05021012,0.09896332,0.14917444,DNMT1,protein_coding,DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976],19
ENSG00000140575,ENSG00000140575.12,0.88201183,0.08304178,9142,0.9935876535159222,6336,0.021170914,0.12796503,0.14913695,IQGAP1,protein_coding,IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110],15
ENSG00000131828,ENSG00000131828.13,0.58640677,0.092968196,8813,0.9578306705792848,9420,-0.10513306,0.043812096,0.14894615,PDHA1,protein_coding,pyruvate dehydrogenase E1 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8806],X
ENSG00000105258,ENSG00000105258.8,1.0816455,0.073043376,9173,0.9969568525160308,2839,-0.061306715,0.08763564,0.14894335,POLR2I,protein_coding,RNA polymerase II subunit I [Source:HGNC Symbol;Acc:HGNC:9196],19
ENSG00000134308,ENSG00000134308.13,1.3294815,0.07542447,9196,0.999456580806434,17683,-0.07380891,0.07487559,0.1486855,YWHAQ,protein_coding,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta [Source:HGNC Symbol;Acc:HGNC:12854],2
ENSG00000104852,ENSG00000104852.14,0.82479227,0.08503613,9132,0.9925008151287904,6942,-0.07325101,0.07535142,0.14860342,SNRNP70,protein_coding,small nuclear ribonucleoprotein U1 subunit 70 [Source:HGNC Symbol;Acc:HGNC:11150],19
ENSG00000108064,ENSG00000108064.10,0.78271693,0.09051872,9078,0.9866318878382784,14671,-0.08099401,0.06756592,0.14856093,TFAM,protein_coding,"transcription factor A, mitochondrial [Source:HGNC Symbol;Acc:HGNC:11741]",10
ENSG00000105404,ENSG00000105404.10,0.5171002,0.07463448,8640,0.939028366481904,811,0.13584757,-0.012507737,0.1483563,RABAC1,protein_coding,Rab acceptor 1 [Source:HGNC Symbol;Acc:HGNC:9794],19
ENSG00000155438,ENSG00000155438.11,0.67778224,0.09153608,8978,0.97576350396696,21135,-0.10854924,-0.039637744,0.14818798,NIFK,protein_coding,nucleolar protein interacting with the FHA domain of MKI67 [Source:HGNC Symbol;Acc:HGNC:17838],2
