gene_id	gene_symbol	biotype	description	seq_region_name
ENSG00000130779	CLIP1	protein_coding	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	12
ENSG00000161057	PSMC2	protein_coding	proteasome 26S subunit, ATPase 2 [Source:HGNC Symbol;Acc:HGNC:9548]	7
ENSG00000198931	APRT	protein_coding	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]	16
ENSG00000244187	TMEM141	protein_coding	transmembrane protein 141 [Source:HGNC Symbol;Acc:HGNC:28211]	9
ENSG00000165264	NDUFB6	protein_coding	NADH:ubiquinone oxidoreductase subunit B6 [Source:HGNC Symbol;Acc:HGNC:7701]	9
ENSG00000174917	MICOS13	protein_coding	mitochondrial contact site and cristae organizing system subunit 13 [Source:HGNC Symbol;Acc:HGNC:33702]	19
ENSG00000177697	CD151	protein_coding	CD151 molecule (Raph blood group) [Source:HGNC Symbol;Acc:HGNC:1630]	11
ENSG00000105699	LSR	protein_coding	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	19
ENSG00000101608	MYL12A	protein_coding	myosin light chain 12A [Source:HGNC Symbol;Acc:HGNC:16701]	18
ENSG00000065518	NDUFB4	protein_coding	NADH:ubiquinone oxidoreductase subunit B4 [Source:HGNC Symbol;Acc:HGNC:7699]	3
ENSG00000173692	PSMD1	protein_coding	proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]	2
ENSG00000143155	TIPRL	protein_coding	TOR signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:30231]	1
ENSG00000131495	NDUFA2	protein_coding	NADH:ubiquinone oxidoreductase subunit A2 [Source:HGNC Symbol;Acc:HGNC:7685]	5
ENSG00000023445	BIRC3	protein_coding	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	11
ENSG00000122378	PRXL2A	protein_coding	peroxiredoxin like 2A [Source:HGNC Symbol;Acc:HGNC:28651]	10
ENSG00000138069	RAB1A	protein_coding	RAB1A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9758]	2
ENSG00000106399	RPA3	protein_coding	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	7
ENSG00000014641	MDH1	protein_coding	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	2
ENSG00000183011	NAA38	protein_coding	N-alpha-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	17
ENSG00000100348	TXN2	protein_coding	thioredoxin 2 [Source:HGNC Symbol;Acc:HGNC:17772]	22
ENSG00000117592	PRDX6	protein_coding	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	1
